TT,ID,As,Fe,Mn,pH,Hardness,Coliforms,EC,X,Y,YLat,XLong,X-WGS84,Y-WGS84,Iddist
535,NN_KN97,0.63,0.0007,0.006,6.1,39,280,160,438059.5961,1363968.262,12.333,107.9323,1365289.283,166318.7871,KNo
165,NN_KN98,0.697,0.056,0.583,5.8,51,150,180,438074.7083,1363971.302,12.333,107.9324,1365292.185,166333.9426,KNo
294,NN_KN99,1.433,0.9384,0.222,7.1,129,0.1,350,438169.0799,1364309.106,12.3361,107.9333,1365629.441,166431.5627,KNo
450,NN_TD1,0.331,0.0235,0.001,7.5,24,70,67,390579.1016,1337700.94,12.0943,107.4966,1339431.189,118540.6394,TDu
452,NN_TD10,0.407,0.0007,0.018,7,27,40,87,385992.1067,1348105.175,12.1882,107.4541,1349891.441,114043.332,TDu
453,NN_TD11,0.621,0.0007,0.001,6.8,41,200,160,388799.2258,1340491.72,12.1194,107.4802,1342241.981,116784.0359,TDu
328,NN_TD12,0.17,0.0007,0.022,4.2,1.5,150,8,388176.3675,1343717.699,12.1486,107.4743,1345477.963,116190.0297,TDu
329,NN_TD14,0.207,0.11,0.034,5.2,1.5,40,21,393309.8421,1331006.837,12.0339,107.5219,1332703.39,121213.7082,TDu
330,NN_TD15,0.186,0.0007,0.03,5.7,6,70,17,390698.2394,1334728.885,12.0674,107.4978,1336454.146,118632.7112,TDu
331,NN_TD16,0.25,0.0208,0.037,5.5,5,40,36,388889.1225,1334661.509,12.0667,107.4812,1336403.233,116820.5955,TDu
332,NN_TD17,0.208,0.0007,0.021,5.7,1.5,150,22,393395.0393,1331053.041,12.0343,107.5227,1332748.876,121299.4371,TDu
333,NN_TD18,0.285,0.0007,0.001,6.5,22,40,50,387415.7735,1350419.89,12.2091,107.4671,1352196.081,115490.3067,TDu
334,NN_TD19,0.22,0.0007,0.001,5.7,13,75,30,391371.9281,1349381.718,12.1999,107.5035,1351119.94,119442.0679,TDu
323,NN_TD2,0.261,0.0354,0.015,6,23,210,40,388176.3675,1343717.699,12.1486,107.4743,1345477.963,116190.0297,TDu
454,NN_TD20,0.398,0.0007,0.001,6.9,35,90,90,377203.0568,1350134.912,12.2062,107.3733,1352005.238,105261.0111,TDu
335,NN_TD21,0.218,0.0007,0.001,7.6,13,90,30,376780.4051,1355324.219,12.2531,107.3692,1357205.732,104885.887,TDu
455,NN_TD23,0.571,0.0007,0.001,7.4,15,150,140,376882.6847,1355929.209,12.2585,107.3696,1357810.62,104940.1902,TDu
456,NN_TD24,1.131,0.0007,0.001,7.4,85,750,210,377426.4313,1355859.323,12.2579,107.3751,1357735.582,105537.7896,TDu
336,NN_TD26,0.428,0.0945,0.02,6.3,37,210,100,377227.3931,1355242.444,12.2523,107.3733,1357119.69,105332.7412,TDu
457,NN_TD27,0.398,0.0007,0.001,7.8,23,150,90,378064.8566,1356025.689,12.2595,107.381,1357896.247,106178.6517,TDu
337,NN_TD28,0.316,0.0007,0.2,3.9,5,90,60,389686.656,1335165.907,12.0713,107.4885,1336900.999,117623.7976,TDu
458,NN_TD29,0.528,0.0007,0.001,7.8,27,200,130,374666.7135,1358636.874,12.2829,107.3494,1360542.714,102775.7365,TDu
451,NN_TD3,0.637,0.0007,0.001,7,33,40,150,389700.3726,1338868.866,12.1048,107.4885,1340608.71,117671.4695,TDu
338,NN_TD30,0.274,0.0435,0.054,4.8,8,210,41,389841.295,1338542.601,12.1019,107.4898,1340280.723,117809.5835,TDu
459,NN_TD35,0.584,0.0007,0.001,7.1,50,230,150,386087.2822,1351065.428,12.2149,107.4549,1352854.78,114166.0182,TDu
324,NN_TD4,0.165,0.0007,0.018,4.2,1.5,90,9,391259.0141,1337557.089,12.093,107.5029,1339280.915,119220.1228,TDu
325,NN_TD5,0.171,0.0036,0.006,4.5,1.5,90,11,390611.3844,1335786.325,12.077,107.497,1337513.767,118555.421,TDu
326,NN_TD6,0.199,0.1691,0.064,6.8,1.5,150,19,386829.8799,1329125.77,12.0166,107.4625,1330878.932,114708.0688,TDu
100,NN_TD7,0.362,0.0235,0.001,7.9,27,90,78,383657.3516,1327770.404,12.0043,107.4334,1329550.632,111518.9179,TDu
327,NN_TD8,0.225,0.0171,0.01,5.8,6,70,30,387473.5895,1329682.639,12.0217,107.4684,1331430.678,115357.7133,TDu
552,NN_TD9,0.399,0.0017,0.001,6.1,12,20,80,388379.4822,1335001.753,12.0698,107.4765,1336748.591,116313.3934,TDu
